// Chaque ligne représente un mouvement
// Paramètres :
//   - t : type de trajectoire
//   - x;y : coordonnées x;y du point de destination en mm
//   - o : angle de l'orientation en degrés
//   - vl : vitesse linéaire en mm/s
//   - va : vitesse angulaire en tour/s
//   - cx1;cy1, ..., cxn;cyn: coordonnées x;y du n-ième point de contrôle en mm
//   - ta : temps additionnel en fin de mouvement en s (correspond à la durée d'une action, d'un temps d'attente, etc.) 
// Unités : distances en mm, temps en s, angles en degrés
// Axes : x = largeur, y = longueur, repère direct (angle 0° correspond au sens des x croissants, 90° au sens des y croissants)
// Types de trajectoires :
//   - t : transformation affine : sx;tx;sy;ty;sa;ta
//   - i : positionnement et angle initiaux, vitesses par défaut : t;x;y;o;vl;va;ta
//   - s : segment : t;x;y;vl;va;ta
//   - b : courbe de Bézier quadratique : t;x;y;cx1;cy1;cx2;cy2;vl;va;ta
//   - d : distance droite : distance
//   - r : rotation sur place : angle
//   - o : rotation orientée sur place : orientation finale;sens (+/- 1)

i;1000;205;90;300;0,25;8
r;0
d;412,087912087912
r;-57,7065351418002
d;895,604395604396
r;2,21948212083847
d;-181,318681318681
r;-110,974106041924
d;0
r;0
d;777,472527472528
r;-13,5388409371147
d;0
r;0
d;-137,362637362637
r;0
d;-428,571428571429
r;0
d;-164,835164835165
r;-105,203452527744
d;978,021978021978
r;15,2034525277435
d;0
r;0
p;1
d;54,9450549450549
